2026-03-17T12:33:52	collect.generate_metrics	INFO    	Thresholding optimal combination beta maps to match T2* F-statistic maps
2026-03-17T12:33:55	collect.generate_metrics	INFO    	Thresholding optimal combination beta maps to match S0 F-statistic maps
2026-03-17T12:33:57	collect.generate_metrics	INFO    	Calculating kappa and rho
2026-03-17T12:33:57	collect.generate_metrics	INFO    	Calculating variance explained
2026-03-17T12:33:57	collect.generate_metrics	INFO    	Calculating normalized variance explained
2026-03-17T12:33:57	collect.generate_metrics	INFO    	Calculating DSI between thresholded T2* F-statistic and optimal combination beta maps
2026-03-17T12:33:57	collect.generate_metrics	INFO    	Calculating DSI between thresholded S0 F-statistic and optimal combination beta maps
2026-03-17T12:33:57	utils.dice        	WARNING 	3 of 16 components have empty maps, resulting in Dice values of 0. Please check your component table for dice columns with 0-values.
2026-03-17T12:33:57	collect.generate_metrics	INFO    	Calculating signal-noise t-statistics
2026-03-17T12:33:57	collect.generate_metrics	INFO    	Counting significant noise voxels from z-statistic maps
2026-03-17T12:33:57	collect.generate_metrics	INFO    	Calculating decision table score
2026-03-17T12:33:58	tedana.tedana_workflow	INFO    	Selecting components from ICA results
2026-03-17T12:33:58	tedica.automatic_selection	INFO    	Performing ICA component selection with tree: tedana_orig
2026-03-17T12:33:58	selection_nodes.manual_classify	INFO    	Step 0: manual_classify: Set all to unclassified 
2026-03-17T12:33:58	selection_utils.comptable_classification_changer	INFO    	Step 0: No components fit criterion False to change classification
2026-03-17T12:33:58	selection_utils.log_decision_tree_step	INFO    	Step 0: manual_classify applied to 16 components. 16 True -> unclassified. 0 False -> nochange.
2026-03-17T12:33:58	selection_nodes.manual_classify	INFO    	Step 0: manual_classify component classification tags are cleared
2026-03-17T12:33:58	selection_utils.log_classification_counts	INFO    	Step 0: Total component classifications: 16 unclassified
2026-03-17T12:33:58	selection_nodes.dec_left_op_right	INFO    	Step 1: left_op_right: rejected if rho>kappa, else nochange
2026-03-17T12:33:58	selection_utils.comptable_classification_changer	INFO    	Step 1: No components fit criterion True to change classification
2026-03-17T12:33:58	selection_utils.log_decision_tree_step	INFO    	Step 1: left_op_right applied to 16 components. 0 True -> rejected. 16 False -> nochange.
2026-03-17T12:33:58	selection_utils.log_classification_counts	INFO    	Step 1: Total component classifications: 16 unclassified
2026-03-17T12:33:58	selection_nodes.dec_left_op_right	INFO    	Step 2: left_op_right: rejected if ['countsigFS0>countsigFT2 & countsigFT2>0'], else nochange
2026-03-17T12:33:58	selection_utils.comptable_classification_changer	INFO    	Step 2: No components fit criterion True to change classification
2026-03-17T12:33:58	selection_utils.log_decision_tree_step	INFO    	Step 2: left_op_right applied to 16 components. 0 True -> rejected. 16 False -> nochange.
2026-03-17T12:33:58	selection_utils.log_classification_counts	INFO    	Step 2: Total component classifications: 16 unclassified
2026-03-17T12:33:58	selection_nodes.calc_median 	INFO    	Step 3: calc_median: Median(median_varex)
2026-03-17T12:33:58	selection_utils.log_decision_tree_step	INFO    	Step 3: calc_median calculated: median_varex=1.9201825776355714
2026-03-17T12:33:58	selection_utils.log_classification_counts	INFO    	Step 3: Total component classifications: 16 unclassified
2026-03-17T12:33:58	selection_nodes.dec_left_op_right	INFO    	Step 4: left_op_right: rejected if ['dice_FS0>dice_FT2 & variance explained>1.92'], else nochange
2026-03-17T12:33:58	selection_utils.comptable_classification_changer	INFO    	Step 4: No components fit criterion True to change classification
2026-03-17T12:33:58	selection_utils.log_decision_tree_step	INFO    	Step 4: left_op_right applied to 16 components. 0 True -> rejected. 16 False -> nochange.
2026-03-17T12:33:58	selection_utils.log_classification_counts	INFO    	Step 4: Total component classifications: 16 unclassified
2026-03-17T12:33:58	selection_nodes.dec_left_op_right	INFO    	Step 5: left_op_right: rejected if ['0>signal-noise_t & variance explained>1.92'], else nochange
2026-03-17T12:33:58	selection_utils.log_decision_tree_step	INFO    	Step 5: left_op_right applied to 16 components. 1 True -> rejected. 15 False -> nochange.
2026-03-17T12:33:58	selection_utils.log_classification_counts	INFO    	Step 5: Total component classifications: 1 rejected, 15 unclassified
2026-03-17T12:33:58	selection_nodes.calc_kappa_elbow	INFO    	Step 6: calc_kappa_elbow: Calc Kappa Elbow
2026-03-17T12:33:58	selection_utils.kappa_elbow_kundu	INFO    	Calculating kappa elbow based on min of all and nonsig components.
2026-03-17T12:33:58	selection_utils.log_decision_tree_step	INFO    	Step 6: calc_kappa_elbow calculated: kappa_elbow_kundu=27.65686934895787, kappa_allcomps_elbow=30.990531176597248, kappa_nonsig_elbow=27.65686934895787, varex_upper_p=6.084532859584135
2026-03-17T12:33:58	selection_utils.log_classification_counts	INFO    	Step 6: Total component classifications: 1 rejected, 15 unclassified
2026-03-17T12:33:58	selection_nodes.dec_reclassify_high_var_comps	INFO    	Step 7: reclassify_high_var_comps: Change unclassified to unclass_highvar for the top couple of components with the highest jumps in variance
2026-03-17T12:33:58	selection_utils.log_decision_tree_step	INFO    	Step 7: reclassify_high_var_comps applied to 15 components. 2 True -> unclass_highvar. 13 False -> nochange.
2026-03-17T12:33:58	selection_utils.log_classification_counts	INFO    	Step 7: Total component classifications: 1 rejected, 2 unclass_highvar, 13 unclassified
2026-03-17T12:33:58	selection_nodes.calc_rho_elbow	INFO    	Step 8: calc_rho_elbow: Calc Rho Elbow
2026-03-17T12:33:58	selection_utils.log_decision_tree_step	INFO    	Step 8: calc_rho_elbow calculated: rho_elbow_kundu=15.190088727692086, rho_allcomps_elbow=17.721150848531163, rho_unclassified_elbow=17.721150848531163, elbow_f05=10.127964486013928
2026-03-17T12:33:58	selection_utils.log_classification_counts	INFO    	Step 8: Total component classifications: 1 rejected, 2 unclass_highvar, 13 unclassified
2026-03-17T12:33:58	selection_nodes.dec_left_op_right	INFO    	Step 9: left_op_right: provisionalaccept if kappa>=27.66, else nochange
2026-03-17T12:33:58	selection_utils.log_decision_tree_step	INFO    	Step 9: left_op_right applied to 13 components. 9 True -> provisionalaccept. 4 False -> nochange.
2026-03-17T12:33:58	selection_utils.log_classification_counts	INFO    	Step 9: Total component classifications: 9 provisionalaccept, 1 rejected, 2 unclass_highvar, 4 unclassified
2026-03-17T12:33:58	selection_nodes.dec_left_op_right	INFO    	Step 10: left_op_right: unclassified if rho>15.19, else nochange
2026-03-17T12:33:58	selection_utils.log_decision_tree_step	INFO    	Step 10: left_op_right applied to 9 components. 6 True -> unclassified. 3 False -> nochange.
2026-03-17T12:33:58	selection_utils.log_classification_counts	INFO    	Step 10: Total component classifications: 3 provisionalaccept, 1 rejected, 2 unclass_highvar, 10 unclassified
2026-03-17T12:33:58	selection_nodes.dec_classification_doesnt_exist	INFO    	Step 11: classification_doesnt_exist: Change ['provisionalaccept', 'unclassified', 'unclass_highvar'] to accepted if less than 2 components with provisionalaccept exist
2026-03-17T12:33:58	selection_nodes.dec_classification_doesnt_exist	INFO    	Step 11: classification_doesnt_exist If nothing is provisionally accepted by this point, then rerun ICA & selection. If max iterations of rerunning done, then accept everything not already rejected
2026-03-17T12:33:58	selection_utils.log_decision_tree_step	INFO    	Step 11: classification_doesnt_exist applied to 15 components. None True -> 0. None False -> 15.
2026-03-17T12:33:58	selection_utils.log_classification_counts	INFO    	Step 11: Total component classifications: 3 provisionalaccept, 1 rejected, 2 unclass_highvar, 10 unclassified
2026-03-17T12:33:58	selection_nodes.calc_varex_thresh	INFO    	Step 12: calc_varex_thresh: Calc varex_upper_thresh, 90th percentile threshold
