rmse_mean	rmse_std	rmse_min	rmse_percentile02	rmse_percentile25	rmse_median	rmse_percentile75	rmse_percentile98	rmse_max
293.5575866699219	409.49615478515625	3.794893264770508	70.16612396240234	163.86443328857422	237.4934844970703	350.3868408203125	801.4859313964853	15525.708984375
281.16748046875	400.2002868652344	4.801014423370361	66.5235969543457	156.69140243530273	226.96926879882812	337.4903106689453	756.0388977050782	15579.3271484375
281.1392517089844	398.16729736328125	2.4872212409973145	68.18290710449219	158.14089965820312	228.3175811767578	335.3032760620117	758.0057983398442	15811.0576171875
282.6270446777344	396.73883056640625	6.984597206115723	69.55702590942383	160.10956573486328	230.0922393798828	335.5099334716797	763.1908996582032	15569.865234375
284.4576721191406	395.793212890625	3.5647964477539062	69.18122024536133	160.3498420715332	232.05628967285156	338.5295715332031	767.1281005859375	15472.9296875
278.86907958984375	394.0845947265625	2.8736002445220947	68.28094635009765	157.8394317626953	226.886962890625	331.2698516845703	749.5580139160156	15310.7998046875
279.8912658691406	393.3359069824219	2.5692849159240723	68.62122497558593	158.83972549438477	228.3768310546875	333.66400146484375	742.5368041992192	15437.306640625
276.63507080078125	391.66925048828125	9.044424057006836	68.56808929443359	156.62778091430664	225.00252532958984	328.4198303222656	746.9307067871094	15333.853515625
275.7024230957031	391.5455322265625	7.2261457443237305	67.47997970581055	155.97848510742188	224.41481018066406	327.065673828125	740.1852294921875	15567.6953125
273.86651611328125	392.4993591308594	2.7338027954101562	67.40319290161133	155.48228454589844	222.95703125	325.4550094604492	733.6346618652346	15506.1650390625
277.40283203125	393.4967346191406	4.288686275482178	68.4121208190918	156.53467559814453	225.1167221069336	328.17830657958984	753.5450439453125	15550.5712890625
273.55596923828125	393.7820129394531	10.700828552246094	66.60595703125	154.57564163208008	221.90074157714844	323.11942291259766	749.425201416016	15599.7119140625
272.1759338378906	391.25677490234375	1.3618953227996826	66.51180572509766	154.05002212524414	222.08041381835938	323.86759185791016	722.3830017089847	15287.0322265625
274.1073303222656	392.5092468261719	6.371221542358398	67.58904724121093	154.97897338867188	223.2900390625	323.8363952636719	739.4926818847658	15496.4130859375
276.1611328125	393.0364685058594	8.48464584350586	66.97897567749024	156.18391799926758	224.16869354248047	326.8849334716797	743.5632873535166	15670.216796875
273.6929626464844	392.3749084472656	4.16294002532959	67.10341415405273	154.90325164794922	222.4806671142578	323.75443267822266	738.5204895019533	15410.212890625
274.963134765625	392.965087890625	2.879006862640381	66.5333854675293	155.10554885864258	222.35546112060547	326.5240249633789	744.7136840820312	15288.8193359375
273.4194030761719	392.74755859375	5.019739151000977	67.43573455810547	154.74727630615234	221.86019897460938	322.7836608886719	735.1589355468756	15508.3232421875
275.3326721191406	391.6590576171875	4.823801517486572	66.33416595458985	156.2541046142578	224.53511810302734	327.7908248901367	737.5998229980476	15206.5888671875
273.76934814453125	391.87457275390625	7.586945056915283	66.68775634765625	154.94796752929688	222.8552703857422	323.8575439453125	733.163220214844	15262.7421875
277.7062072753906	392.6937561035156	9.362526893615723	66.83485565185546	156.07471466064453	225.7007827758789	330.60778045654297	754.502893066407	15799.25
273.0406799316406	391.4928283691406	4.516815662384033	65.65383911132812	154.8053207397461	222.21636199951172	324.72550201416016	730.2319580078125	15255.0234375
278.11767578125	393.0753173828125	10.430695533752441	66.66491394042968	156.9867057800293	226.53438568115234	330.06690979003906	750.2760681152347	15432.5361328125
273.89373779296875	392.7353515625	7.537989616394043	67.03012771606446	154.80107879638672	222.220703125	323.6316909790039	742.6646362304691	15397.4375
278.0088806152344	393.47198486328125	2.578508138656616	67.47303466796875	157.28201293945312	226.26569366455078	331.95801544189453	738.5328613281251	15595.0771484375
274.6993713378906	393.3601379394531	5.7048234939575195	68.35719299316406	156.5532989501953	223.21533966064453	324.36421966552734	737.805993652344	15498.6611328125
280.0807189941406	393.3204345703125	1.2904316186904907	69.1449363708496	157.78256607055664	227.92504119873047	333.0841598510742	751.976971435547	15552.21875
272.82464599609375	393.31927490234375	6.990377902984619	66.44403381347657	153.58895874023438	222.1423568725586	322.8711242675781	734.4738220214846	15251.7685546875
273.5389404296875	392.613525390625	4.72531795501709	65.95356521606445	153.80552291870117	220.90229034423828	324.1784896850586	746.9952575683595	15299.33203125
271.8323669433594	393.0433044433594	5.1797871589660645	66.23153610229492	152.90376663208008	219.872314453125	320.8030014038086	740.8880493164065	15222.3193359375
271.493896484375	391.6493835449219	4.1377177238464355	65.83397064208984	153.2280158996582	220.43472290039062	321.8176956176758	730.3330322265631	15454.9423828125
276.49267578125	393.52044677734375	4.786025047302246	67.52179946899415	155.95475387573242	224.58372497558594	327.5094299316406	745.3270996093753	15306.9755859375
271.0990295410156	392.1310119628906	3.4241578578948975	65.00413970947265	153.09819412231445	219.534912109375	320.3069763183594	739.4125122070313	15501.7041015625
273.96356201171875	392.1072082519531	7.994851112365723	66.43328399658203	154.3755226135254	222.53629302978516	326.8636016845703	735.0923583984376	15257.779296875
269.7275085449219	392.21240234375	2.0481722354888916	64.76981887817382	152.21663284301758	218.39672088623047	318.4565124511719	733.7518676757812	15296.7421875
274.7919616699219	393.4346008300781	6.5572733879089355	67.8367202758789	154.6807861328125	222.51677703857422	324.5607604980469	749.5800476074226	15473.3046875
270.0564270019531	391.5932922363281	4.813814163208008	66.14071807861328	153.22852325439453	219.51688385009766	319.46875762939453	727.6412231445319	15446.72265625
281.648681640625	394.8707275390625	8.024630546569824	68.02592086791992	158.38286590576172	228.3658218383789	334.04368591308594	764.1060485839845	15266.0791015625
269.57635498046875	392.9313049316406	6.253631591796875	66.5507080078125	152.2054100036621	218.3209991455078	317.8871307373047	738.3812194824221	15136.14453125
277.0971374511719	392.4075012207031	6.491899490356445	68.09887924194337	157.1878662109375	225.84171295166016	329.19398498535156	741.3808715820319	15384.2392578125
270.51446533203125	391.97882080078125	2.922545909881592	65.82559967041016	152.0515899658203	219.0639190673828	319.39546966552734	737.3043518066411	15326.26171875
278.47967529296875	393.51953125	4.050349235534668	67.0465591430664	156.78943252563477	225.6587371826172	330.69092559814453	755.8325256347658	15340.1328125
267.783203125	392.8747863769531	7.509634494781494	64.81488647460938	150.97907257080078	217.22257232666016	316.3408889770508	722.5080932617188	15450.859375
271.4246520996094	390.716796875	6.572471618652344	65.56332550048828	153.53582382202148	219.96916961669922	321.44871520996094	732.9023437500001	15358.962890625
272.3312683105469	392.6116027832031	5.590959548950195	66.41710205078125	153.87024307250977	220.45052337646484	321.2795104980469	744.5787780761721	15615.255859375
270.7297668457031	390.7667236328125	4.483301162719727	65.9005859375	153.0447654724121	220.2121353149414	320.0955810546875	732.9970703125001	15691.2587890625
268.7950744628906	392.0478820800781	6.569386959075928	64.69112167358398	150.70769500732422	217.40697479248047	317.6829147338867	736.542529296876	15235.3408203125
270.38677978515625	390.7130432128906	1.488028883934021	65.43442611694336	152.1209487915039	218.94222259521484	319.3783874511719	736.0799621582036	15632.1728515625
270.15924072265625	392.7482604980469	3.49423885345459	66.53641815185547	152.64278411865234	219.63108825683594	319.36871337890625	728.9664428710939	15365.6884765625
268.82525634765625	391.3747863769531	2.2272329330444336	65.45209884643555	151.95165252685547	217.89128875732422	316.9874496459961	726.1519653320314	15029.6298828125
