pca_00	pca_01	pca_02	pca_03	pca_04	pca_05	pca_06	pca_07	pca_08	pca_09	pca_10	pca_11	pca_12	pca_13	pca_14
-0.07385929882862965	0.13761663194999613	0.06016824902118386	-0.03629823303097958	-0.024136344966447735	-0.007168528687984536	-0.06691740601916615	-0.05433311155042543	0.10156829286964393	-0.18729795751196007	0.19649170967817964	-0.2013459370067479	-0.020528067132293677	0.05485435552994635	-0.02056783992682228
-0.06552199418982985	0.14567226640037967	-0.007281892416638257	0.0676928318504407	0.042370158960959275	0.002783736705338507	-0.011271491140048516	-0.11605091602663019	-0.12059818222325672	-0.1680091824753156	0.12412172235372847	-0.15301326481103011	0.08383628585214715	-0.11937244084143905	-0.02170665285074095
-0.06923826607170314	0.1192666511051994	-0.08686044541825795	-0.039822332685810424	0.008700324233944103	0.018892564508485716	-0.034825228920937895	0.050712216904391566	0.1094163774092284	-0.16665670985760006	0.10185219987999213	-0.09849351810165619	-0.10278008229142675	-0.08705193719797795	0.018122098380438628
-0.06320143871157072	0.11960091440564471	0.05987212144620735	-0.08889908945485575	0.06683104964587719	0.13435797100367805	0.04714484112786074	-0.0833338669229863	-0.05753015693678526	0.0017434260193582851	0.16558167196018186	-0.14307328711862355	0.051611063373129915	0.019014250668864294	0.07858140269441526
-0.07323785738235475	0.09292083349131305	0.03533791708874934	0.1003427774881116	-0.0027794341379993592	0.11763850522288688	0.03996346579887839	0.11818305507461925	0.1616277838538097	-0.0026237926460632444	0.15440124386895293	-0.01711443825990333	0.021119122889695162	-0.08000070320779001	0.03798889588012168
-0.0665117875819336	0.10977156874400805	-0.09963511420872728	-0.018172442674931816	0.039140778056101805	0.09914989220576065	0.08070616607355985	-0.07620697328815257	-0.0432640036903619	-0.033918362009632	0.09278576702539473	0.006686909761612236	-0.06074199803290132	-0.017400950416556045	-0.016634902415971774
-0.07461321087377538	0.10729410737884576	0.05647868291360117	-0.07229072912044954	-0.031032159473734278	0.0402323993458118	-0.013363650832896867	0.10201876694706583	0.053576263703171687	-0.08483683872012182	0.07730361189892865	-0.060281131640609914	0.0021122269120415413	0.07309175318479966	-0.08441379858371244
-0.06671113960962886	0.09501020489639365	0.06589779840886459	0.07891618223763869	0.026107984291599662	0.006927579127579089	0.01231065272698359	-0.10624794212931638	-0.02600500824386151	-0.10880098536145102	0.046962884418208416	-0.021734360900974525	0.03072963215513966	-0.09178319593420438	0.004592055182117638
-0.07025327930089807	0.08722577732266476	-0.09938947280547522	0.003902982910254593	-0.0035104509777635975	0.01865202704748608	-0.06300523556175525	0.05054792303471439	0.07545684969441012	-0.08924245619726143	0.032076780018464535	-0.007194037536733824	-0.13919569173312032	-0.003102412153790946	-0.01579501815789245
-0.0608866618819781	0.09725061315255511	0.045481313380898086	-0.08266723536653198	0.06163966905538004	0.08273649284110778	0.030723653252532512	-0.11385498487115814	-0.00682428511835792	-0.04409941633117656	-0.0022594536042483404	-0.15793171349200608	0.0475404767987336	0.06271791706980258	-0.01527681783626941
-0.06883949870289971	0.07925607175391046	0.032889561903168676	0.10959437658018925	0.019856861131285986	0.09746111081602246	-0.00020882820620149456	0.11958449761571635	0.05446584222019327	-0.01925323953485153	-0.010894066960208393	-0.07404466669917542	-0.028699226837317723	-0.10895601419499751	-0.004907337748160864
-0.06457094031595031	0.07665856604306058	-0.10170981318762105	-0.029308758394307546	0.045808218530379134	0.09353327748793974	0.03917042823077177	-0.07754615329328868	0.005319401818018238	-0.049570703946000994	-0.02688934705459539	-0.009150652959468722	-0.06565274090256579	-0.022150442446014194	-0.017183039490283204
-0.06937410515032529	0.06104615452209524	0.07084889511756748	-0.04631525543697253	0.011962990004790019	0.07604246607876836	-0.05162108248129044	0.0804723255204075	0.04885282549286142	-0.0640114483479031	-0.050483818525941276	-0.04136846081836637	-0.01861686056068669	0.12089531695067579	-0.09330043675967484
-0.06749359258529833	0.07443071550812168	0.0007913123918481004	0.09391447038175749	0.01994678901710421	0.08943474046333026	0.030727017272117553	-0.12421316064350207	0.013908929553406973	-0.05158175813794719	-0.0848748188062095	-0.0805819502332884	0.10052475665159284	-0.04942727872739237	-0.06048563893400438
-0.07330577654242036	0.05454587903013703	-0.0864466127835424	-0.05486972433453477	-0.02188874490893705	0.08493662479382064	-0.03489672812011746	0.11820096882690097	-0.002578645554572656	-0.016085693215921182	-0.10217506907655122	0.009380272036408233	-0.08294056200927229	-0.09233330084304836	-0.07560263685834807
